code_etu;nom;prenom;clt_parcsup;bac;ue_1_1;ue_2_1;ue_3_1;ue_4_1;ue_5_1;ue_6_1;ue_1_2;ue_2_2;ue_3_2;ue_4_2;ue_5_2;ue_6_2;ue_1_3;ue_2_3;ue_3_3;ue_4_3;ue_1_4;ue_2_4;ue_3_4;ue_4_4;ue_1_5;ue_2_5;ue_3_5;ue_4_5;ue_1_6;ue_2_6;ue_3_6;ue_4_6;ue_5_6;ue_6_6;res_but_1;res_but_2;res_but_3;avis_pe;app_but_2;app_but_3;but_3_etr
1;ETUDIANT001;Personne001;137;S-Sciences;14,16;13,61;;;;;14,26;14,71;;;;;11,32;13,82;;;12,61;12,73;;;13,18;14,29;;;13,9;14,73;;;;;ADM;TSF;;;;;
2;ETUDIANT002;Personne002;;STI2D;14,95;12,61;11,58;;;;13,54;12,88;11,98;;;;12,94;10,79;10,34;;12,07;10,55;12,88;;13,27;10,66;12,18;;13,23;13,99;11,79;;;;ADM;AJNAR;;;non;;
3;ETUDIANT003;Personne003;133;STI2D;10,8;11,95;11,55;12,74;14,07;12,63;11;12,01;10,98;12,42;13,88;12,63;10,98;11,43;10,97;12,23;9,8;10,4;11,43;12,46;13,39;12,27;11,45;13,85;11,7;14,1;10,78;11,91;14,03;14,03;ADM;ADM;ADM;N;non;oui;
4;ETUDIANT004;Personne004;14;STI2D;17,42;16,49;15,81;16,52;16,81;15,55;16,6;15,35;16,09;15,81;17,13;15,55;16,29;15,39;16,48;15,44;15,29;13,65;15,88;16,26;15,53;16,2;15,81;16,55;15,66;14,98;15,94;16,36;16,31;16,31;ADM;ADM;ADM;TF;oui;oui;
5;ETUDIANT005;Personne005;113;NBGE;14,04;14,25;12,71;15;14,95;15,74;14,57;16,08;12,79;16,16;15,25;15,74;16,1;11,55;11,91;15,31;15,74;13,19;13,49;15,69;15,41;15;14,34;15,72;15,52;14,96;14,33;15,65;14,03;14,03;ADM;ADM;ADM;F;non;oui;
6;ETUDIANT006;Personne006;48;NBGE;17,31;14,51;16,14;16,15;16,25;15,2;17,09;16,39;16,51;14,97;15,91;15,2;14,97;11,98;17,22;15,27;15,39;13,17;15,36;15,71;15,66;14,17;15,38;15,92;15,05;12,22;12,94;15,63;14,97;14,97;ADM;ADM;ADM;TF;oui;oui;
7;ETUDIANT007;Personne007;91;NBGE;13,94;14,61;12,45;15,37;15,1;13,59;15,32;14,61;13,27;14,65;15,1;13,59;13,73;14,6;11,64;15,27;12,7;10,91;12,89;14,36;14,51;13,48;12,4;15,61;12,89;12,34;12,85;14,91;15,1;13,59;ADM;ADM;ADM;F;non;non;CEGEP de Matane
8;ETUDIANT008;Personne008;134;NBGE;13,82;12,94;12,39;13,6;11,58;11,78;14,37;12,5;13,28;15,41;11,11;11,78;11,49;9,91;11,36;14,4;13,34;12,32;13,78;14,8;14,34;11,87;13,78;15,49;15,99;13,28;14,02;13,64;13,41;13,37;ADM;ADM;ADM;N;non;non;
9;ETUDIANT009;Personne009;46;STI2D;11,57;13,15;15,45;15,13;14,68;14,56;12,42;12,67;14,65;14,93;14,55;14,56;13,13;15,37;14,43;14,92;11,29;12;14,74;14,98;13,53;14,25;15,27;16,23;14,3;14,04;14,98;15,94;14,65;14,65;ADM;ADM;ADM;F;oui;oui;
10;ETUDIANT010;Personne010;54;NBGE;15,54;14,1;14,59;15,9;16,99;15,98;13,81;13,73;14,62;16,18;16,86;15,98;14,33;14,88;13,3;16,22;13,72;13,31;15;15,97;16,23;13,65;15,78;16,76;16,54;15,43;16,32;16,18;16,56;16,56;ADM;ADM;ADM;TF;oui;oui;
